Word,Count
enter,151
sampson,23
gregory,18
with,408
swords,6
bucklers,1
house,28
capulet,128
on,142
my,545
word,33
well,111
not,424
carry,4
coals,1
no,168
for,331
then,119
we,152
should,91
be,340
colliers,1
mean,12
an,112
in,522
choler,2
draw,15
ay,52
while,12
you,500
live,27
your,224
neck,2
out,81
collar,1
strike,10
quickly,9
being,36
moved,7
but,303
thou,370
art,74
dog,6
montague,40
moves,6
me,375
move,13
is,539
stir,8
valiant,6
stand,36
therefore,26
if,126
runnst,1
away,37
that,574
shall,176
will,219
take,57
wall,8
any,22
man,103
maid,11
montagues,7
shows,8
thee,200
weak,6
slave,6
weakest,1
goes,12
tis,78
true,35
women,9
weaker,1
vessels,2
are,140
ever,18
thrust,3
push,3
men,37
from,143
his,291
maids,7
quarrel,13
between,5
our,177
masters,5
us,85
their,106
all,203
one,89
show,29
myself,26
tyrant,11
when,92
have,247
fought,6
civil,3
cut,7
off,21
heads,7
maidenheads,1
it,377
what,257
sense,5
wilt,32
they,174
must,75
feel,11
am,90
able,2
known,14
pretty,8
piece,3
flesh,8
fish,2
hadst,8
been,42
poorjohn,1
thy,220
tool,1
here,116
comes,40
abram,6
another,18
servingman,29
naked,3
weapon,2
back,34
how,91
turn,15
run,15
fear,50
marry,24
let,77
law,11
sides,4
them,92
begin,8
frown,2
as,246
pass,3
by,165
list,4
nay,22
dare,18
bite,8
thumb,8
at,118
which,141
disgrace,3
bear,23
he,286
bites,1
do,172
sir,86
aside,33
side,7
say,91
serve,8
good,134
better,20
benvolio,80
kinsmen,6
yes,4
lie,30
mengregory,1
remember,10
washing,2
blow,5
fight,18
part,27
fools,6
drawing,3
sword,22
put,33
up,83
know,69
tybalt,70
drawn,4
among,7
these,64
heartless,1
hinds,1
look,53
upon,108
death,88
keep,28
peace,29
manage,2
talk,14
hate,14
hell,15
coward,3
three,27
four,3
citizens,5
clubs,2
partisans,3
bills,1
beat,7
down,33
capulets,8
old,44
gown,1
wife,35
noise,10
this,323
give,70
long,19
ho,14
lady,196
crutch,2
why,69
call,33
come,143
flourishes,1
blade,4
spite,6
villain,21
capulethold,1
go,99
shalt,17
foot,11
seek,7
foe,6
prince,35
escalus,1
train,1
rebellious,3
subjects,1
enemies,1
profaners,1
neighborstained,1
steel,6
hearwhat,1
beasts,1
quench,2
fire,12
pernicious,3
rage,4
purple,1
fountains,1
issuing,1
veins,4
pain,4
torture,5
those,39
bloody,23
hands,24
throw,8
mistempered,1
weapons,3
ground,11
hear,39
sentence,2
brawls,2
bred,1
airy,3
thrice,6
disturbed,1
quiet,3
streets,4
made,34
veronas,2
ancient,8
cast,6
gravebeseeming,1
ornaments,2
wield,1
cankered,2
disturb,2
again,46
lives,25
pay,8
forfeit,2
time,76
rest,23
depart,5
along,4
afternoon,4
farther,4
pleasure,10
case,9
freetown,1
common,4
judgmentplace,1
once,20
more,117
exit,63
who,72
set,17
new,24
abroach,1
speak,58
nephew,1
were,77
began,5
servants,7
adversary,1
yours,6
close,10
fighting,3
ere,32
did,81
approach,7
drew,2
instant,3
came,19
fiery,2
prepared,2
breathed,2
defiance,1
ears,11
swung,1
about,24
head,24
winds,3
nothing,30
hurt,7
withal,10
hissed,1
him,192
scorn,9
interchanging,1
thrusts,2
blows,4
till,42
parted,2
either,11
o,187
where,82
romeo,304
saw,15
today,4
right,8
glad,2
was,97
fray,4
madam,25
hour,27
before,41
worshiped,1
sun,18
peered,1
forth,20
golden,8
window,3
east,5
troubled,3
mind,17
drove,1
walk,9
abroad,5
underneath,2
grove,2
sycamore,1
westward,1
rooteth,1
city,4
so,241
early,16
walking,3
see,67
son,46
towards,7
ware,2
stole,2
into,21
covert,1
wood,12
measuring,1
affections,3
own,34
most,40
sought,5
might,13
found,10
too,80
many,23
weary,4
self,4
pursued,2
humor,3
pursuing,1
gladly,3
shunned,1
fled,9
morning,10
hath,116
there,101
seen,12
tears,22
augmenting,1
fresh,3
mornings,3
dew,5
adding,1
clouds,8
deep,12
sighs,6
soon,16
allcheering,1
farthest,2
shady,1
curtains,3
auroras,1
bed,36
light,37
steals,2
home,11
heavy,14
private,2
chamber,13
pens,1
himself,18
shuts,2
windows,2
locks,4
fair,48
daylight,4
makes,19
artificial,2
night,89
black,18
portentous,1
prove,7
unless,7
counsel,8
may,79
cause,10
remove,6
noble,21
uncle,6
neither,5
nor,43
can,63
learn,4
importuned,1
means,13
both,39
other,32
friends,15
counselor,2
himselfi,1
secret,5
far,10
sounding,2
discovery,2
bud,2
bit,1
envious,6
worm,3
spread,2
sweet,37
leaves,4
air,20
dedicate,2
beauty,11
same,16
could,30
whence,8
sorrows,3
grow,5
would,102
willingly,1
cure,5
please,10
step,3
ill,122
grievance,1
much,50
denied,1
wert,3
happy,15
stay,31
shriftcome,1
lets,13
morrow,9
cousin,24
day,63
young,36
struck,4
nine,9
sad,6
hours,8
seem,8
father,36
went,5
hence,37
fast,5
sadness,4
lengthens,1
romeos,17
having,11
short,8
love,153
her,203
favor,4
alas,12
gentle,17
view,3
tyrannous,1
rough,6
proof,4
whose,28
muffled,1
still,33
without,27
eyes,39
pathways,1
dineo,1
yet,104
tell,53
heard,10
heres,18
brawling,1
loving,7
anything,4
first,79
create,2
lightness,1
serious,2
vanity,2
misshapen,2
chaos,1
wellseeming,1
forms,1
feather,1
lead,8
bright,7
smoke,3
cold,12
sick,9
health,6
stillwaking,1
sleep,37
